coreid	identifier	format	accessURI	rights	owner	creator	type	idigbio_recordSetID
93b67542-240a-4dcf-958e-52470f843d0e	urn:uuid:82b38a32-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder0000004/AMNH_PBI 00184623 CF-4.jpg	http://creativecommons.org/licenses/by/4.0/	Canadian National Collection of Insects, Agriculture and Agri-Food Canada	Canadian National Collection of Insects, Agriculture and Agri-Food Canada	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
7402b3dd-301f-4daf-ace8-8dc2342342d3	urn:uuid:84c70e52-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder00000005/AMNH_PBI 00058637_top_P2_CF3.jpg	http://creativecommons.org/licenses/by/4.0/	American Museum of Natural History	American Museum of Natural History	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
bbd41b60-2360-4d49-bd05-b590602906d7	urn:uuid:82564afc-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder00000005/AMNH_PBI 00070437_top_P3_CF3.jpg	http://creativecommons.org/licenses/by/4.0/	United States National Museum of Natural History	United States National Museum of Natural History	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
d6c1c11f-65c0-404a-b99b-575cbc00791c	urn:uuid:827ec3ec-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder00000005/AMNH_PBI 00093260_top_P2_CF3.jpg	http://creativecommons.org/licenses/by/4.0/	American Museum of Natural History	American Museum of Natural History	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
33014a2b-2d9b-49f5-b968-bd7bfd3c8a19	urn:uuid:826a2dba-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder00000005/AMNH_PBI 00093304_top_P2_CF3.jpg	http://creativecommons.org/licenses/by/4.0/	American Museum of Natural History	American Museum of Natural History	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
b4d3a430-9413-4e31-bd88-49e529248b49	urn:uuid:8269c7da-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder00000005/AMNH_PBI 00094269_top_P3_CF3.jpg	http://creativecommons.org/licenses/by/4.0/	American Museum of Natural History	American Museum of Natural History	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
07dbb439-6b8c-4a5d-aaa7-85b049aeec2a	urn:uuid:82b35fa8-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder00000005/AMNH_PBI 00094273_top_P3_CF3.jpg	http://creativecommons.org/licenses/by/4.0/	American Museum of Natural History	American Museum of Natural History	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
b6cb120c-5a38-4af9-8615-500b37df805e	urn:uuid:82b3639a-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder00000005/AMNH_PBI 00094277_top_P3_CF3.jpg	http://creativecommons.org/licenses/by/4.0/	American Museum of Natural History	American Museum of Natural History	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
014314cf-4f21-4551-98e0-8c2271ea5763	urn:uuid:82b369e4-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder00000005/AMNH_PBI 00094287_top_P3_CF3.jpg	http://creativecommons.org/licenses/by/4.0/	American Museum of Natural History	American Museum of Natural History	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
f9da322b-d975-49d6-8bbc-d99187939051	urn:uuid:82b36e62-d8e1-11e2-99a2-0026552be7ea_RID	image/jpg	https://research.amnh.org/pbi/specimen/specimen/image_folder00000005/AMNH_PBI 00094295_top_P3_CF3.jpg	http://creativecommons.org/licenses/by/4.0/	American Museum of Natural History	American Museum of Natural History	StillImage	6b546055-ecf5-40dd-a091-67fe6f9531f4
